Using kernels flash-attn2 (compute capability (12, 0))
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 20,972,032
  scalars                 : 16
  total                   : 46,137,872
Estimated FLOPs per token: 2.139126e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011469 | lrm: 1.00 | dt: 5565ms | tok/sec: 23,551 | mfu: 0.5% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.883111 | lrm: 1.00 | dt: 286ms | tok/sec: 457,848 | mfu: 9.9% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.554588 | lrm: 1.00 | dt: 293ms | tok/sec: 448,002 | mfu: 9.7% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.137233 | lrm: 1.00 | dt: 274ms | tok/sec: 477,635 | mfu: 10.3% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.755521 | lrm: 1.00 | dt: 282ms | tok/sec: 464,158 | mfu: 10.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.441248 | lrm: 1.00 | dt: 293ms | tok/sec: 447,690 | mfu: 9.7% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.192334 | lrm: 1.00 | dt: 296ms | tok/sec: 442,746 | mfu: 9.6% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.984615 | lrm: 1.00 | dt: 275ms | tok/sec: 476,274 | mfu: 10.3% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.810339 | lrm: 1.00 | dt: 284ms | tok/sec: 460,943 | mfu: 10.0% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.662765 | lrm: 1.00 | dt: 289ms | tok/sec: 454,195 | mfu: 9.8% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.534300 | lrm: 1.00 | dt: 296ms | tok/sec: 443,499 | mfu: 9.6% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.419629 | lrm: 1.00 | dt: 275ms | tok/sec: 476,104 | mfu: 10.3% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.324908 | lrm: 1.00 | dt: 284ms | tok/sec: 460,769 | mfu: 10.0% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.240835 | lrm: 1.00 | dt: 289ms | tok/sec: 454,303 | mfu: 9.8% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 6.164041 | lrm: 1.00 | dt: 296ms | tok/sec: 443,397 | mfu: 9.6% | epoch: 1 | remaining: 299s    
step 00047 (3.4%) | loss: 5.219597 | lrm: 1.00 | dt: 296ms | tok/sec: 442,952 | mfu: 9.6% | epoch: 1 | remaining: 289s    
step 00048 (3.5%) | loss: 5.200841 | lrm: 1.00 | dt: 275ms | tok/sec: 475,955 | mfu: 10.3% | epoch: 1 | remaining: 289s    
step 00049 (3.6%) | loss: 5.181812 | lrm: 1.00 | dt: 284ms | tok/sec: 461,446 | mfu: 10.0% | epoch: 1 | remaining: 289s    
step 00050 (3.7%) | loss: 5.161612 | lrm: 1.00 | dt: 289ms | tok/sec: 453,599 | mfu: 9.8% | epoch: 1 | remaining: 289s    
step 00051 (3.8%) | loss: 5.139804 | lrm: 1.00 | dt: 295ms | tok/sec: 443,802 | mfu: 9.6% | epoch: 1 | remaining: 288s    
step 00052 (3.9%) | loss: 5.115756 | lrm: 1.00 | dt: 275ms | tok/sec: 477,023 | mfu: 10.3% | epoch: 1 | remaining: 288s    
step 00053 (4.0%) | loss: 5.097749 | lrm: 1.00 | dt: 284ms | tok/sec: 461,504 | mfu: 10.0% | epoch: 1 | remaining: 288s    
step 00054 (4.1%) | loss: 5.076582 | lrm: 1.00 | dt: 288ms | tok/sec: 454,798 | mfu: 9.8% | epoch: 1 | remaining: 287s    
step 00055 (4.2%) | loss: 5.055450 | lrm: 1.00 | dt: 296ms | tok/sec: 443,152 | mfu: 9.6% | epoch: 1 | remaining: 287s    
step 00056 (4.3%) | loss: 5.034830 | lrm: 1.00 | dt: 274ms | tok/sec: 477,550 | mfu: 10.3% | epoch: 1 | remaining: 287s    
step 00057 (4.4%) | loss: 5.018081 | lrm: 1.00 | dt: 284ms | tok/sec: 461,375 | mfu: 10.0% | epoch: 1 | remaining: 287s    
step 00058 (4.5%) | loss: 5.004483 | lrm: 1.00 | dt: 288ms | tok/sec: 454,498 | mfu: 9.8% | epoch: 1 | remaining: 286s    
step 00059 (4.6%) | loss: 4.983099 | lrm: 1.00 | dt: 295ms | tok/sec: 443,783 | mfu: 9.6% | epoch: 1 | remaining: 286s    
step 00060 (4.7%) | loss: 4.962924 | lrm: 1.00 | dt: 275ms | tok/sec: 476,825 | mfu: 10.3% | epoch: 1 | remaining: 286s    
step 00061 (4.8%) | loss: 4.938471 | lrm: 1.00 | dt: 283ms | tok/sec: 462,439 | mfu: 10.0% | epoch: 1 | remaining: 285s    
step 00062 (4.9%) | loss: 4.919228 | lrm: 1.00 | dt: 289ms | tok/sec: 454,250 | mfu: 9.8% | epoch: 1 | remaining: 285s    
step 00063 (5.0%) | loss: 4.902211 | lrm: 1.00 | dt: 296ms | tok/sec: 443,455 | mfu: 9.6% | epoch: 1 | remaining: 285s    
step 00064 (5.1%) | loss: 4.884895 | lrm: 1.00 | dt: 275ms | tok/sec: 476,625 | mfu: 10.3% | epoch: 1 | remaining: 285s    
step 00065 (5.1%) | loss: 4.866739 | lrm: 1.00 | dt: 284ms | tok/sec: 462,009 | mfu: 10.0% | epoch: 1 | remaining: 284s    
step 00066 (5.2%) | loss: 4.845704 | lrm: 1.00 | dt: 288ms | tok/sec: 455,452 | mfu: 9.8% | epoch: 1 | remaining: 284s    
step 00067 (5.3%) | loss: 4.830942 | lrm: 1.00 | dt: 296ms | tok/sec: 443,037 | mfu: 9.6% | epoch: 1 | remaining: 284s    
step 00068 (5.4%) | loss: 4.813047 | lrm: 1.00 | dt: 275ms | tok/sec: 476,312 | mfu: 10.3% | epoch: 1 | remaining: 283s    
step 00069 (5.5%) | loss: 4.792491 | lrm: 1.00 | dt: 284ms | tok/sec: 461,416 | mfu: 10.0% | epoch: 1 | remaining: 283s    
step 00070 (5.6%) | loss: 4.775126 | lrm: 1.00 | dt: 288ms | tok/sec: 454,772 | mfu: 9.8% | epoch: 1 | remaining: 283s    
step 00071 (5.7%) | loss: 4.750893 | lrm: 1.00 | dt: 295ms | tok/sec: 443,643 | mfu: 9.6% | epoch: 1 | remaining: 283s    
step 00072 (5.8%) | loss: 4.734264 | lrm: 1.00 | dt: 275ms | tok/sec: 477,044 | mfu: 10.3% | epoch: 1 | remaining: 282s    
step 00073 (5.9%) | loss: 4.714118 | lrm: 1.00 | dt: 284ms | tok/sec: 462,009 | mfu: 10.0% | epoch: 1 | remaining: 282s    
step 00074 (6.0%) | loss: 4.698548 | lrm: 1.00 | dt: 288ms | tok/sec: 454,667 | mfu: 9.8% | epoch: 1 | remaining: 282s    
step 00075 (6.1%) | loss: 4.679454 | lrm: 1.00 | dt: 296ms | tok/sec: 443,320 | mfu: 9.6% | epoch: 1 | remaining: 281s    
step 00076 (6.2%) | loss: 4.660043 | lrm: 1.00 | dt: 275ms | tok/sec: 476,658 | mfu: 10.3% | epoch: 1 | remaining: 281s    
step 00077 (6.3%) | loss: 4.637940 | lrm: 1.00 | dt: 283ms | tok/sec: 462,574 | mfu: 10.0% | epoch: 1 | remaining: 281s    
step 00078 (6.4%) | loss: 4.616901 | lrm: 1.00 | dt: 289ms | tok/sec: 453,873 | mfu: 9.8% | epoch: 1 | remaining: 281s    
step 00079 (6.5%) | loss: 4.600288 | lrm: 1.00 | dt: 296ms | tok/sec: 443,510 | mfu: 9.6% | epoch: 1 | remaining: 280s    
step 00080 (6.6%) | loss: 4.582987 | lrm: 1.00 | dt: 275ms | tok/sec: 476,886 | mfu: 10.3% | epoch: 1 | remaining: 280s    
step 00081 (6.7%) | loss: 4.567708 | lrm: 1.00 | dt: 283ms | tok/sec: 462,828 | mfu: 10.0% | epoch: 1 | remaining: 280s    
step 00082 (6.8%) | loss: 4.547401 | lrm: 1.00 | dt: 288ms | tok/sec: 455,366 | mfu: 9.8% | epoch: 1 | remaining: 279s    
step 00083 (6.9%) | loss: 4.528684 | lrm: 1.00 | dt: 295ms | tok/sec: 444,060 | mfu: 9.6% | epoch: 1 | remaining: 279s    
step 00084 (7.0%) | loss: 4.510710 | lrm: 1.00 | dt: 275ms | tok/sec: 477,023 | mfu: 10.3% | epoch: 1 | remaining: 279s    
step 00085 (7.1%) | loss: 4.498968 | lrm: 1.00 | dt: 283ms | tok/sec: 462,601 | mfu: 10.0% | epoch: 1 | remaining: 279s    
step 00086 (7.1%) | loss: 4.480180 | lrm: 1.00 | dt: 288ms | tok/sec: 454,427 | mfu: 9.8% | epoch: 1 | remaining: 278s    
step 00087 (7.2%) | loss: 4.459038 | lrm: 1.00 | dt: 295ms | tok/sec: 444,163 | mfu: 9.6% | epoch: 1 | remaining: 278s    
step 00088 (7.3%) | loss: 4.444520 | lrm: 1.00 | dt: 275ms | tok/sec: 476,742 | mfu: 10.3% | epoch: 1 | remaining: 278s    
step 00089 (7.4%) | loss: 4.426739 | lrm: 1.00 | dt: 284ms | tok/sec: 461,436 | mfu: 10.0% | epoch: 1 | remaining: 277s    
step 00090 (7.5%) | loss: 4.409579 | lrm: 1.00 | dt: 287ms | tok/sec: 456,039 | mfu: 9.9% | epoch: 1 | remaining: 277s    
step 00091 (7.6%) | loss: 4.398131 | lrm: 1.00 | dt: 296ms | tok/sec: 443,279 | mfu: 9.6% | epoch: 1 | remaining: 277s    
step 00092 (7.7%) | loss: 4.382825 | lrm: 1.00 | dt: 275ms | tok/sec: 477,114 | mfu: 10.3% | epoch: 1 | remaining: 277s    
step 00093 (7.8%) | loss: 4.365404 | lrm: 1.00 | dt: 284ms | tok/sec: 461,245 | mfu: 10.0% | epoch: 1 | remaining: 276s    
step 00094 (7.9%) | loss: 4.350605 | lrm: 1.00 | dt: 289ms | tok/sec: 453,860 | mfu: 9.8% | epoch: 1 | remaining: 276s    
step 00095 (8.0%) | loss: 4.331457 | lrm: 1.00 | dt: 295ms | tok/sec: 443,584 | mfu: 9.6% | epoch: 1 | remaining: 276s    
step 00096 (8.1%) | loss: 4.316291 | lrm: 1.00 | dt: 275ms | tok/sec: 476,639 | mfu: 10.3% | epoch: 1 | remaining: 275s    
step 00097 (8.2%) | loss: 4.298181 | lrm: 1.00 | dt: 284ms | tok/sec: 462,266 | mfu: 10.0% | epoch: 1 | remaining: 275s    
step 00098 (8.3%) | loss: 4.277610 | lrm: 1.00 | dt: 288ms | tok/sec: 454,955 | mfu: 9.8% | epoch: 1 | remaining: 275s    
step 00099 (8.4%) | loss: 4.263468 | lrm: 1.00 | dt: 296ms | tok/sec: 443,518 | mfu: 9.6% | epoch: 1 | remaining: 275s    
step 00100 (8.5%) | loss: 4.255660 | lrm: 1.00 | dt: 275ms | tok/sec: 476,484 | mfu: 10.3% | epoch: 1 | remaining: 274s    
step 00101 (8.6%) | loss: 4.245434 | lrm: 1.00 | dt: 284ms | tok/sec: 461,239 | mfu: 10.0% | epoch: 1 | remaining: 274s    
step 00102 (8.7%) | loss: 4.231702 | lrm: 1.00 | dt: 288ms | tok/sec: 454,672 | mfu: 9.8% | epoch: 1 | remaining: 274s    
step 00103 (8.8%) | loss: 4.215027 | lrm: 1.00 | dt: 295ms | tok/sec: 443,626 | mfu: 9.6% | epoch: 1 | remaining: 273s    
step 00104 (8.9%) | loss: 4.203226 | lrm: 1.00 | dt: 275ms | tok/sec: 476,357 | mfu: 10.3% | epoch: 1 | remaining: 273s    
step 00105 (9.0%) | loss: 4.192228 | lrm: 1.00 | dt: 284ms | tok/sec: 462,021 | mfu: 10.0% | epoch: 1 | remaining: 273s    
step 00106 (9.1%) | loss: 4.179474 | lrm: 1.00 | dt: 289ms | tok/sec: 454,215 | mfu: 9.8% | epoch: 1 | remaining: 273s    
step 00107 (9.1%) | loss: 4.166534 | lrm: 1.00 | dt: 296ms | tok/sec: 442,545 | mfu: 9.6% | epoch: 1 | remaining: 272s    
step 00108 (9.2%) | loss: 4.149352 | lrm: 1.00 | dt: 277ms | tok/sec: 473,736 | mfu: 10.2% | epoch: 1 | remaining: 272s    
step 00109 (9.3%) | loss: 4.133347 | lrm: 1.00 | dt: 284ms | tok/sec: 461,411 | mfu: 10.0% | epoch: 1 | remaining: 272s    
step 00110 (9.4%) | loss: 4.119991 | lrm: 1.00 | dt: 286ms | tok/sec: 458,117 | mfu: 9.9% | epoch: 1 | remaining: 271s    
step 00111 (9.5%) | loss: 4.113884 | lrm: 1.00 | dt: 295ms | tok/sec: 443,708 | mfu: 9.6% | epoch: 1 | remaining: 271s    
step 00112 (9.6%) | loss: 4.106260 | lrm: 1.00 | dt: 275ms | tok/sec: 477,385 | mfu: 10.3% | epoch: 1 | remaining: 271s    
step 00113 (9.7%) | loss: 4.097435 | lrm: 1.00 | dt: 283ms | tok/sec: 463,395 | mfu: 10.0% | epoch: 1 | remaining: 271s    
step 00114 (9.8%) | loss: 4.083293 | lrm: 1.00 | dt: 288ms | tok/sec: 454,796 | mfu: 9.8% | epoch: 1 | remaining: 270s    
step 00115 (9.9%) | loss: 4.074131 | lrm: 1.00 | dt: 295ms | tok/sec: 443,573 | mfu: 9.6% | epoch: 1 | remaining: 270s    
step 00116 (10.0%) | loss: 4.066594 | lrm: 1.00 | dt: 275ms | tok/sec: 476,587 | mfu: 10.3% | epoch: 1 | remaining: 270s    
step 00117 (10.1%) | loss: 4.053130 | lrm: 1.00 | dt: 285ms | tok/sec: 460,707 | mfu: 10.0% | epoch: 1 | remaining: 269s    
step 00118 (10.2%) | loss: 4.043759 | lrm: 1.00 | dt: 288ms | tok/sec: 455,009 | mfu: 9.8% | epoch: 1 | remaining: 269s    
step 00119 (10.3%) | loss: 4.034836 | lrm: 1.00 | dt: 296ms | tok/sec: 442,667 | mfu: 9.6% | epoch: 1 | remaining: 269s    
step 00120 (10.4%) | loss: 4.029787 | lrm: 1.00 | dt: 274ms | tok/sec: 477,950 | mfu: 10.3% | epoch: 1 | remaining: 269s    
step 00121 (10.5%) | loss: 4.017104 | lrm: 1.00 | dt: 283ms | tok/sec: 462,906 | mfu: 10.0% | epoch: 1 | remaining: 268s    
step 00122 (10.6%) | loss: 4.007125 | lrm: 1.00 | dt: 289ms | tok/sec: 453,840 | mfu: 9.8% | epoch: 1 | remaining: 268s    
step 00123 (10.7%) | loss: 3.995366 | lrm: 1.00 | dt: 296ms | tok/sec: 443,425 | mfu: 9.6% | epoch: 1 | remaining: 268s    
step 00124 (10.8%) | loss: 3.985023 | lrm: 1.00 | dt: 275ms | tok/sec: 477,138 | mfu: 10.3% | epoch: 1 | remaining: 267s    
step 00125 (10.9%) | loss: 3.974620 | lrm: 1.00 | dt: 283ms | tok/sec: 462,479 | mfu: 10.0% | epoch: 1 | remaining: 267s    
step 00126 (11.0%) | loss: 3.963172 | lrm: 1.00 | dt: 288ms | tok/sec: 455,598 | mfu: 9.8% | epoch: 1 | remaining: 267s    
step 00127 (11.1%) | loss: 3.958610 | lrm: 1.00 | dt: 295ms | tok/sec: 443,602 | mfu: 9.6% | epoch: 1 | remaining: 267s    
step 00128 (11.1%) | loss: 3.954545 | lrm: 1.00 | dt: 275ms | tok/sec: 476,891 | mfu: 10.3% | epoch: 1 | remaining: 266s    
step 00129 (11.2%) | loss: 3.942040 | lrm: 1.00 | dt: 284ms | tok/sec: 462,099 | mfu: 10.0% | epoch: 1 | remaining: 266s    
step 00130 (11.3%) | loss: 3.932010 | lrm: 1.00 | dt: 288ms | tok/sec: 455,401 | mfu: 9.8% | epoch: 1 | remaining: 266s    
step 00131 (11.4%) | loss: 3.919472 | lrm: 1.00 | dt: 295ms | tok/sec: 444,463 | mfu: 9.6% | epoch: 1 | remaining: 265s    
step 00132 (11.5%) | loss: 3.915873 | lrm: 1.00 | dt: 275ms | tok/sec: 476,741 | mfu: 10.3% | epoch: 1 | remaining: 265s    
step 00133 (11.6%) | loss: 3.912055 | lrm: 1.00 | dt: 283ms | tok/sec: 462,523 | mfu: 10.0% | epoch: 1 | remaining: 265s    
step 00134 (11.7%) | loss: 3.900980 | lrm: 1.00 | dt: 288ms | tok/sec: 454,739 | mfu: 9.8% | epoch: 1 | remaining: 265s    
step 00135 (11.8%) | loss: 3.897891 | lrm: 1.00 | dt: 296ms | tok/sec: 443,023 | mfu: 9.6% | epoch: 1 | remaining: 264s    
step 00136 (11.9%) | loss: 3.890262 | lrm: 1.00 | dt: 274ms | tok/sec: 478,126 | mfu: 10.3% | epoch: 1 | remaining: 264s    
step 00137 (12.0%) | loss: 3.882068 | lrm: 1.00 | dt: 283ms | tok/sec: 463,025 | mfu: 10.0% | epoch: 1 | remaining: 264s    
step 00138 (12.1%) | loss: 3.870521 | lrm: 1.00 | dt: 288ms | tok/sec: 455,549 | mfu: 9.8% | epoch: 1 | remaining: 263s    
step 00139 (12.2%) | loss: 3.864165 | lrm: 1.00 | dt: 296ms | tok/sec: 443,259 | mfu: 9.6% | epoch: 1 | remaining: 263s    
step 00140 (12.3%) | loss: 3.853954 | lrm: 1.00 | dt: 275ms | tok/sec: 476,781 | mfu: 10.3% | epoch: 1 | remaining: 263s    
step 00141 (12.4%) | loss: 3.848787 | lrm: 1.00 | dt: 284ms | tok/sec: 462,004 | mfu: 10.0% | epoch: 1 | remaining: 263s    
step 00142 (12.5%) | loss: 3.844672 | lrm: 1.00 | dt: 288ms | tok/sec: 455,414 | mfu: 9.8% | epoch: 1 | remaining: 262s    
step 00143 (12.6%) | loss: 3.840473 | lrm: 1.00 | dt: 295ms | tok/sec: 443,888 | mfu: 9.6% | epoch: 1 | remaining: 262s    
step 00144 (12.7%) | loss: 3.835459 | lrm: 1.00 | dt: 274ms | tok/sec: 477,878 | mfu: 10.3% | epoch: 1 | remaining: 262s    
step 00145 (12.8%) | loss: 3.832513 | lrm: 1.00 | dt: 284ms | tok/sec: 461,933 | mfu: 10.0% | epoch: 1 | remaining: 261s    
step 00146 (12.9%) | loss: 3.829945 | lrm: 1.00 | dt: 288ms | tok/sec: 455,424 | mfu: 9.8% | epoch: 1 | remaining: 261s    
step 00147 (13.0%) | loss: 3.818512 | lrm: 1.00 | dt: 295ms | tok/sec: 444,643 | mfu: 9.6% | epoch: 1 | remaining: 261s    
step 00148 (13.1%) | loss: 3.818597 | lrm: 1.00 | dt: 275ms | tok/sec: 477,197 | mfu: 10.3% | epoch: 1 | remaining: 261s    
step 00149 (13.1%) | loss: 3.813244 | lrm: 1.00 | dt: 283ms | tok/sec: 463,099 | mfu: 10.0% | epoch: 1 | remaining: 260s    
step 00150 (13.2%) | loss: 3.807284 | lrm: 1.00 | dt: 288ms | tok/sec: 454,979 | mfu: 9.8% | epoch: 1 | remaining: 260s    
step 00151 (13.3%) | loss: 3.802567 | lrm: 1.00 | dt: 295ms | tok/sec: 444,363 | mfu: 9.6% | epoch: 1 | remaining: 260s    
step 00152 (13.4%) | loss: 3.795886 | lrm: 1.00 | dt: 274ms | tok/sec: 479,083 | mfu: 10.4% | epoch: 1 | remaining: 259s    
step 00153 (13.5%) | loss: 3.791599 | lrm: 1.00 | dt: 283ms | tok/sec: 462,563 | mfu: 10.0% | epoch: 1 | remaining: 259s    
step 00154 (13.6%) | loss: 3.787905 | lrm: 1.00 | dt: 288ms | tok/sec: 455,446 | mfu: 9.8% | epoch: 1 | remaining: 259s    
